Intent,Query,Responses
Acad_Teo_FilDer_L2_Qué es un silogismo,"Due to the complexity of an increasingly global environment, companies require.",A syllogism is an argument that is made up of two premises and a conclusion that is the logical result that follows from the two premises. Click here for more information
Acad_Teo_FilDer_L2_Qué es una proposición,In what year was the internet born?,"A proposition is any statement that is either true or false, but not both at the same time. Click here for more information"
"Acad_Teo_FilDer_L2_Vida humana objetivada, espíritu objetivo",How is the producer-consumer chain called by Kotler as a chain?,"“Objectified human life, objective spirit” belongs to the concept of legal ontology Click here for more information"
Acad_Teo_FM_12 conceptos,What is distribution channel?,Borden. Click here for more related information.
Acad_Teo_FM_4 elementos básicos,Who was the  first  to give the customer a product feature to choose from?,McCarthy. Click here for more related information.
Acad_Teo_FM_4p´s del departamento de marketing,Dimensions used when assessing a company's product portfolio.,"Product, price, place, promotion. Click here for more related information."
Acad_Teo_FM_abarca la mercadotecnia,What is a life cycle?,From research to distribution. Click here for more related information.
Acad_Teo_FM_accesibilidad,Coca Cola What kind of market is it?,It is one of the requirements needed to talk about an efficient market segmentation.
Acad_Teo_FM_ambiente cada vez más global,How old is the legislation regarding marketing in  Mexico ?,Develop the ability to adapt and communicate with markets
Acad_Teo_FM_artículo constitucional,What is brand competition?,Art. 28.
Acad_Teo_FM_año nació el internet,How is the market made up?,1969. Click here for more related information.
Acad_Teo_FM_cadena productor- consumidor,Who is the main receiver within the marketing communication process?,Zero. Click here for more related information.
Acad_Teo_FM_canal de distribución, What is it to be focused?,It represents each of the stages that make up the product's journey from the manufacturer to the final consumer. Click here for more related information.
Acad_Teo_FM_característica del producto,What area differentiates the concepts of market and industry?,Henry Ford. Click here for more related information.
Acad_Teo_FM_cartera de productos de una empresa,Consumer,"Width, depth, length, consistency. Click here for more related information."
Acad_Teo_FM_ciclo de vida,What are the consumers?,"They are all the actions, strategies or tactics that are implemented in a product from its birth until it is removed from the market. Click here for more related information."
Acad_Teo_FM_coca cola,What is the creation of the marketing department?,Global. Click here for more related information.
Acad_Teo_FM_comercialización en México,What is CRM?,More than 18.
Acad_Teo_FM_competencia de marca,What is qualitative?,It is the Competition in which the products are practically identical. Click here for more related information.
Acad_Teo_FM_compone el mercado,How does  Deborah Weinstein  define marketing?,"It is made up of the individuals to satisfy, the product and the staff. Click here for more related information."
Acad_Teo_FM_comunicación de mercadotecnia,What was  Theodore Levitt  saying?,The consumer. Click here for more related information.
Acad_Teo_FM_concentrada,Marketing director.,Segmentation strategy that concentrates its efforts on targeting one or a few segments.
Acad_Teo_FM_conceptos de mercado e industria,What is exclusive distribution?,Marketing. Click here for more related information.
Acad_Teo_FM_Consumidor,What is extensive distribution?,It must be the raison d'être of any company. Click here for more related information.
Acad_Teo_FM_consumidores,What is selective distribution?,Real and potential. Click here for more related information.
Acad_Teo_FM_creación del departamento de marketing,What is distribution?,It is growth and customer acquisition tend to increase. Click here for more related information.
Acad_Teo_FM_CRM,What is a possible solution to the problem of choosing multiple marketing channels?,Customer relationship management. Click here for more related information.
Acad_Teo_FM_cualitativa,What is company?,"Type of research that tries to get to know the depths of the consumer, his thoughts, his feelings and culture. Click here for more related information."
Acad_Teo_FM_Deborah Weinstein,What is educational approach?,Like the act of building relationships between consumers and brands. Click here for more related information.
Acad_Teo_FM_decia Theodore Levitt,What is the demographic environment?,He argued that the purpose of a business was to create and keep a customer. Click here for more related information.
Acad_Teo_FM_Director de marketing.,What is a local strategy?,You are responsible for carrying out the marketing strategy. Click here for more related information.
Acad_Teo_FM_distribución exclusiva,What is the  first  thing a company should do when thinking about exporting?,Prestigious fashion brands employ a distribution. Click here for more related information.
Acad_Teo_FM_distribución extensiva,What are the skills that a negotiator must have?,Type of distribution recommended for essential products. Click here for more related information.
Acad_Teo_FM_distribución selectivo,What do intermediaries do?,Locate products only at convenient points of sale. Click here for more related information.
Acad_Teo_FM_distribución,What are the main promotional tools that every company has?,Marketing tool that links production with consumption. Click here for more related information.
Acad_Teo_FM_elección de múltiples canales,What is social intelligence?,Centralize the channels. Click here for more related information.
Acad_Teo_FM_empresa,Who are the Intermediaries?,Organization whose objective is to obtain a benefit through the satisfaction of a market need. Click here for more related information.
Acad_Teo_FM_enfoque educativo,What is the main question of the marketing department?,Marketing strategy that teaches the market how to best use a product. Click here for more related information.
Acad_Teo_FM_entorno demográfico,In what year was marketing introduced to Mexico?,It refers to changes in the population structure. Click here for more related information.
Acad_Teo_FM_estrategía local,What is market research?,Market that encompasses consumers in a local area. Click here for more related information.
Acad_Teo_FM_exportar,What is holistic marketing?,Do market research. Click here for more related information.
Acad_Teo_FM_habilidades que debe poseer un negociador,What does international marketing do that domestic marketing doesn't?,"Honesty, empathy, flexibility and stability."
Acad_Teo_FM_hacen los Intermediarios,What is the marketing mix?,They enable the flow of goods and services from manufacturers to consumers. Click here for more related information.
Acad_Teo_FM_herramientas promocionales,"When and where did the term ""political marketing"" first appear?","Price, vendor, advertising, promotions, distribution. Click here for more related information."
Acad_Teo_FM_inteligencia social,What is relationship marketing?,"Capacities, skills and abilities that the leader of an organization must have."
Acad_Teo_FM_Intermediarios,What is thought in traditional marketing?,"They help the promotion, distribution and sale of goods and services. Click here for more related information."
Acad_Teo_FM_interrogativa del departamento de marketing,What kind of knowledge does export marketing require?,What should be sold? Click here for more related information.
Acad_Teo_FM_introdujo el marketing a México,What is promotion mix?,1935. Click here for more related information.
Acad_Teo_FM_investigación de mercados,What is promotional mix?,"Función que conecta al consumidor, al cliente y al público con el vendedor mediante la información, la cual se emplea para identificar y definir las oportunidades y los problemas del marketing. Da clic aquí para más información relacionada"
Acad_Teo_FM_marketing holístico,What is Micro-environment?,"It is a commitment of all employees and an identification with the objectives, mission and vision of the company. Click here for more related information."
Acad_Teo_FM_marketing internacional,What do drive-thru retailers do?,"Choose markets, the form of entry and adapt. Click here for more related information."
Acad_Teo_FM_marketing mix,What is need?,It allows to develop a positioning strategy through four variables. Click here for more related information.
Acad_Teo_FM_marketing político,Towards what are the objectives of the marketing area oriented?,1950s in the United States.
Acad_Teo_FM_marketing relacional,"Which area has the function of influencing the level, timing and composition of demand?",Type of marketing that creates and maintains links with the key participants that will guarantee your success. Click here for more related information.
Acad_Teo_FM_marketing tradicional,What are marketing keywords used for?,Where are the people. Click here for more related information.
Acad_Teo_FM_mercadotecnia para la exportación,What does the physical person do?,Specialized in customs formalities. Click here for more related information.
Acad_Teo_FM_mezcla de promoción,What should the staff do?,"It is the combination of certain tools such as advertising, sales promotion and merchandising to achieve specific goals for the organization. Click here for more related information."
Acad_Teo_FM_mezcla promocional,What is planning?,Set of communication instruments used by companies to produce the desired knowledge. Click here for more related information.
Acad_Teo_FM_Micro-entorno,What is optional product pricing?,"It is the set of factors close but outside the company, and that influence marketing. Click here for more related information."
Acad_Teo_FM_minoristas de auto servicio,When should the price be low?,They cater to customers who are willing to do their own locate-compare-select process. Click here for more related information.
Acad_Teo_FM_necesidad,What are the  4  premises of digital marketing?,State of deprivation felt by an individual. Click here for more related information.
Acad_Teo_FM_objetivos del área de marketin,What is the primary product?,to the benefit of the consumer. Click here for more related information.
Acad_Teo_FM_oportunidad y la composición de la demanda,What is capital property?,To the administration.
Acad_Teo_FM_palabras clave marketing,What is advertising?,They are used so that potential customers arrive at a portal and find what they want.
Acad_Teo_FM_persona física,Who has benefited from the economic recession?,It is every human being with the capacity to act. Click here for more related information.
Acad_Teo_FM_personal,What does service refer to?,Providing a quality service resides. Click here for more related information.
Acad_Teo_FM_planeación,What does public relations refer to?,"Phase of the Marketing Administration in which it is determined what, how and when an action is going to be carried out. Click here for more related information."
Acad_Teo_FM_precio de un producto opcional,What does social responsibility refer to?,A type of pricing that consists of setting the price of an ancillary product that is sold together with a main product. Click here for more related information.
Acad_Teo_FM_precio debe de ser bajo,What are the current marketing challenges?,If a company's goals are based on market penetration. Click here for more related information.
Acad_Teo_FM_premisas del marketing digital,What does the environment refer to?,"Flow, functionality, solution of a problem and loyalty."
Acad_Teo_FM_producto primario,What is behavioral segmentation?,Type of container that directly contains the product. Click here for more related information.
Acad_Teo_FM_propiedad del capital,What is geographical segmentation?,It is the classification of companies in private and public obey the criteria.
Acad_Teo_FM_publicidad,What is psychographic segmentation?,"It is the paid form of non-personal presentation and promotion of ideas, goods or services with a well-identified sponsor. Click here for more related information."
Acad_Teo_FM_recesión económica,What are the most important socioeconomic segmentation factors?,emerging countries. Click here for more related information.
Acad_Teo_FM_refiere servicio.,What does the evolution or selection of distribution channels depend on?,Set of values ​​added to a product that allows us to make a difference with respect to others. Click here for more related information.
Acad_Teo_FM_relaciones públicas,What is needed to better serve the consumer?,May produce and send press releases. Click here for more related information.
Acad_Teo_FM_responsabilidad social,What is  Maslow 's theory?,"Business vision that integrates respect for people, ethical values, the community and the environment."
Acad_Teo_FM_retos de la mercadotecnia,What elements are part of the service triangle?,A multitude of competitors and more demanding consumers. Click here for more related information.
Acad_Teo_FM_se refiere el entorno,What is shape utility?,It refers to the external factors and forces that influence the marketing process. Click here for more related information.
Acad_Teo_FM_segmentación conductual,What does value refer to?,"Divide consumers based on their knowledge, attitudes, uses, or responses to a product. Click here for more related information."
Acad_Teo_FM_segmentación geográfica,What are sales?,Division of the market in different zones. Click here for more related information.
Acad_Teo_FM_segmentación psicográfica,"In recent years, the attitude of voters towards political elites.","Divide consumers based on social class, lifestyle, or personality. Click here for more related information."
Acad_Teo_FM_segmentación socioeconómica,How should the history of Indian law be approached?,"Income level, education level, profession, social class. Click here for more related information."
Acad_Teo_FM_selección de los canales de distribución,"Who is the author of Notes for the history of law in  Mexico , a classic work that in its time was the only reference for the study of legal tradition in the country?","From the development of products, communication channels and technology. Click here for more related information."
Acad_Teo_FM_servir mejor al consumidor,What elements should be taken into account to accrue?,Get to know him better. Click here for more related information.
Acad_Teo_FM_teoría de Maslow,"According to  Alfonso García Gallo , the history of law, what methods should be used?",Theory that tries to give an explanation about what motivates people. Click here for more related information.
Acad_Teo_FM_triángulo de servicio,"As a discipline, does the history of law study?","Customer, People, Service Strategies, Systems. Click here for more related information."
Acad_Teo_FM_utilidad de forma,"To understand the history of law as a discipline, it is necessary to cover at least  two  branches of history. What are they?",It refers to making the product more attractive and suitable for the consumer.
Acad_Teo_FM_valor,Which of the following is part of the object of study of the history of law as a discipline?,It refers to what customers are willing to pay for a product. Click here for more related information.
Acad_Teo_FM_ventas,What is periodification in the history of law?,It is the approach that starts with a well-defined market and focuses on customer needs. Click here for more related information.
Acad_Teo_FM_élites políticas.,What does the external history of law point out?,It has become much less predictable and much more consumerist. Click here for more related information.
Acad_Teo_HDM_abordar la historia del derecho indiano,What does the internal history of law indicate?,Taking into account the social sciences. Click here for more information.
Acad_Teo_HDM_autor de Apuntes para la historia del derecho en México,What does the social history of law point out?,Toribio Esquivel Obregón. Click here for more information.
Acad_Teo_HDM_cuenta para periodificar,What was one subject that the history of law had a battle with?,"Identify the object, conceptualize it, define it, place it in a systematic and institutional framework, establish its space-time limits and set the criteria to be used. Click here for more information."
Acad_Teo_HDM_De acuerdo con Alfonso García Gallo,What is the basic conception of social law?,You must use legal methods and techniques of historians. Click here for more information.
"Acad_Teo_HDM_disciplina, la historia del derecho estudia",How does sociology consider law?,The legal phenomenon with historical perspective. Click here for more information.
Acad_Teo_HDM_historia del derecho como disciplina,What are laws the result of?,The universal history of law and the history of national rights. Click here for more information.
Acad_Teo_HDM_objeto de estudio de la historia del derecho como disciplina,"What is the law, in addition to the formal rules?",The jurisprudence with its sentences and the opinion of the people. Click here for more information.
Acad_Teo_HDM_periodificación en la historia del derecho,What is the object of study of the history of law?,It is the process of delimiting an event in a space-time coordinate Click here for more information.
Acad_Teo_HDM_señala la historia externa del derecho,What is  one  purpose of social law?,The history of law is history and must be studied with a historical method. Click here for more information.
Acad_Teo_HDM_señala la historia interna del derecho,What is considered an impact of law on society?,That the history of law is law and should be studied with a dogmatic method. Click here for more information.
Acad_Teo_HDM_señala la historia social del derecho,What can cause the practice of public law?,That the history of law is a historical discipline and its scope extends to social relations. Click here for more information.
Acad_Teo_IED_L1_asignatura con la que tuvo una batalla la historia del derecho,What is an achievement of political economy?,Political economy was the subject with which the history of law had a battle. Click here for more related information.
Acad_Teo_IED_L1_concepción base del derecho social,Who are the main thinkers of sociology?,El hombre por el derecho es la concepción base del derecho social. Dá click aqui para más informacion relacionada
Acad_Teo_IED_L1_Cómo considera la sociología al derecho,What is the legal object of aeronautical law?,La sociología considera al derecho como una rama de lo social. Dá click aqui para más informacion relacionada
Acad_Teo_IED_L1_De qué son resultado las leyes,What is the relationship between ecology and law?,Las leyes son el resultado de una prolongada reflexión sobre el derecho. Dá click aqui para más informacion relacionada
Acad_Teo_IED_L1_el derecho además de las reglas formales,What is a function of computer law?,Además de las reglas formales el derecho consiste en prácticas fuera de las instituciones públicas. Dá click aqui para más informacion relacionada
Acad_Teo_IED_L1_el objeto de estudio de la historia del derecho,What is a part of the science of law?,El derecho es el objeto de estudio de la historia del derecho. Dá click aqui para más informacion relacionada
Acad_Teo_IED_L1_finalidad del derecho social,What is an example of an explanatory source?,La protección es una finalidad del derecho social. Dá click aqui para más informacion relacionada
Acad_Teo_IED_L1_impacto del derecho en la sociedad,Example of a historical font,Se le considera un impacto del derecho en la sociedad a todo lo que afecta la conciencia y la conducta. Dá click aqui para más informacion relacionada
Acad_Teo_IED_L1_la práctica del derecho público,What is federal law?,La práctica del derecho público puede provocar el cambio social. Dá click aqui para más informacion relacionada
Acad_Teo_IED_L1_logro de la economía política,What is a function of the historical source?,La disminución sostenida de la pobreza y la desigualdad es uno de los logros de la economía política. Dá click aqui para más informacion relacionada
Acad_Teo_IED_L1_los principales pensadores de la sociología,What responds to the natural law conception of law?,Ehrlich y Weber son los principales pensadores de la sociología. Dá click aqui para más informacion relacionada
Acad_Teo_IED_L1_objeto jurídico del derecho aeronáutico,What does custom legally imply?,Un hecho técnico es el objeto jurídico del derecho aeronáutico. Dá click aqui para más informacion relacionada
Acad_Teo_IED_L1_relación entre ecología y derecho,What is doctrine?,El cambio de perspectiva acerca de los valores es la relación entre ecología y derecho. Dá click aqui para más informacion relacionada
Acad_Teo_IED_L1_una función del derecho informático,What is Jurisprudence?,Atender la destrucción de información es una función del derecho informático. Dá click aqui para más informacion relacionada
Acad_Teo_IED_L1_una parte de la ciencia del derecho,What are the sources of law?,El derecho comparado es una parte de la ciencia del derecho. Dá click aqui para más informacion relacionada
Acad_Teo_IED_L2_ejemplo de fuente aclaratoria,What are the formal sources?,La Jurisprudencia es un ejemplo de fuente aclaratoria. Dá click aqui para más informacion relacionada
Acad_Teo_IED_L2_ejemplo de fuente histórica,What are the types of jurisprudence?,Las declaraciones y/o documentos antiguos son ejemplo de fuente histórica. Dá click aqui para más informacion relacionada
Acad_Teo_IED_L2_el derecho federal,Who are the legislators?,El derecho federal es un conjunto de normas jurídicas. Dá click aqui para más informacion relacionada
Acad_Teo_IED_L2_función de la fuente histórica,What is a formal font?,Servir para crear nuevas leyes es una función de la fuente histórica. Dá click aqui para más informacion relacionada
Acad_Teo_IED_L2_la concepción iusnaturalista del derecho,What is the classification of norms by their material scope of validity?,El positivismo Jurídico responde a la concepción iusnaturalista del derecho. Dá click aqui para más informacion relacionada
Acad_Teo_IED_L2_la costumbre jurídicamente,What does article  25  of the Constitution establish?,La costumbre jurídicamente implica una forma supletoria de la ley. Dá click aqui para más informacion relacionada
Acad_Teo_IED_L2_la doctrina en derecho,What does the Vienna school say about the norm?,La doctrina son los estudios de carácter científico que los juristas realizan. Dá click aqui para más informacion relacionada
Acad_Teo_IED_L2_la Jurisprudencia,What is the function of  Hans Kelsen 's pyramid?,La Jurisprudencia es un conjunto de principios y doctrinas. Dá click aqui para más informacion relacionada
Acad_Teo_IED_L2_las fuentes del derecho,Who supports the lawyer's action?,"Las fuentes del derecho son primarias, secundarias y aclaratorias. Dá click aqui para más informacion relacionada"
Acad_Teo_IED_L2_las fuentes formales,What are the duties of the litigant?,Las fuentes formales son las que siguen un proceso para su formación. Dá click aqui para más informacion relacionada
Acad_Teo_IED_L2_los tipos de jurisprudencia,Why does a citizen obey the law?,Interpretativas e integradoras son los tipos de jurisprudencia. Dá click aqui para más informacion relacionada
Acad_Teo_IED_L2_Quiénes legislan,Kant 's postulate,Los Diputados y Senadores son los que legislan. Dá click aqui para más informacion relacionada
Acad_Teo_IED_L2_una fuente formal,What is the postulate of law over duty?,Una fuente formal es el proceso creativo de la norma jurídica. Dá click aqui para más informacion relacionada
Acad_Teo_IED_L3_clasificación de normas por su ámbito material,What does the legal order imply?,El derecho público y privado es la clasificación de normas por su ámbito material de validez. Dá click aqui para más informacion relacionada
Acad_Teo_IED_L3_el artículo 25 constitucional,How are moral standards guaranteed?,El artículo 25 establece los requisitos para ejercer una profesión. Dá click aqui para más informacion relacionada.
Acad_Teo_IED_L3_escuela de Viena sobre la norma,What is a classification of the norms?,La escuela de Viena plantea sobre la norma que las normas deben ser formales. Dá click aqui para más informacion relacionada
Acad_Teo_IED_L3_función de la pirámide de Hans Kelsen,What is the highest legal body?,La función de la pirámide de Hans Kelsen categoriza las normas. Dá click aqui para más informacion relacionada.
Acad_Teo_IED_L3_la acción del abogado,What are some of the elements of the state?,El Estado avala la acción del abogado. Dá click aqui para más informacion relacionada.
Acad_Teo_IED_L3_los deberes del litigante,Where does Aristotle quote the socio-emotional nature of man?,"Los deberes del litigante deben ser éticos, morales y jurídicos. Dá click aqui para más informacion relacionada."
Acad_Teo_IED_L3_obedece un ciudadano el derecho,What does article 42 of the Constitution of the  United Mexican States  cite?,Un ciudadano obedece el derecho por su moral privada. Dá click aqui para más informacion relacionada.
Acad_Teo_IED_L3_postulado de Kant,What does  Aristotle  quote that is effected through language?,Kant's postulate is to bring together what is and what should be. Click here for more related information.
Acad_Teo_IED_L3_postulado del derecho sobre el deber,How does the Mexican State exercise power?,El derecho equilibra el deber ser y la realidad es el postulado del derecho sobre el deber. Dá click aqui para más informacion relacionada
Acad_Teo_IED_L3_Qué implica el orden jurídico,What is justice according to  Andrés Ibáñez ?,El orden jurídico implica reconocer todas las leyes. Dá click aqui para más informacion relacionada.
Acad_Teo_IED_L3_se garantizan las normas morales,Rousseau  equality,Las normas morales se garantizan a sí mismas. Dá click aqui para más informacion relacionada.
Acad_Teo_IED_L3_una clasificación de las normas,What is justice according to  Aristotle ?,La fuente es una clasificación de las normas. Dá click aqui para más informacion relacionada
Acad_Teo_IED_L3_órgano de máxima jerarquía jurídica,What does the administrative organization imply?,La Constitución política de México es el órgano de máxima jerarquía jurídica. Dá click aqui para más informacion relacionada.
Acad_Teo_IED_L4_algunos de los elementos del Estado,What are the functions of the rule of law?,"El territorio, población y soberanía son algunos de los elementos del Estado. Dá click aqui para más informacion relacionada."
Acad_Teo_IED_L4_Aristóteles la naturaleza socioemocional del hombre,What are the governing bodies?,Aristotle cites the socio-emotional nature of man in politics. Click here for more related information.
Acad_Teo_IED_L4_artículo 42 de la Constitución,What do human rights refer to?,El artículo 42 de la Constitución de los Estados Unidos Mexicanos habla sobre la definición del territorio del país.
Acad_Teo_IED_L4_cita Aristóteles que se efectúa por medio del lenguaje,What is the characteristic of the essential elements of the legal act?,"Los juicios se efectúan por medio del lenguaje, cita Aristóteles. Dá click aqui para más informacion relacionada."
Acad_Teo_IED_L4_De qué forma ejerce el Estado mexicano el poder,What are causes of nullity of a legal act?,El Estado mexicano ejerce el poder a través del Presidencialismo. Dá click aqui para más informacion relacionada.
Acad_Teo_IED_L4_justicia según Andrés Ibáñez,How are legal facts classified?,Justice according to Andrés Ibáñez is that administered by the State. Click here for more related information.
Acad_Teo_IED_L4_la igualdad según Rousseau,With what facts does the legal relationship arise?,"Según Rousseau, la legislación debe mantener la igualdad. Dá click aqui para más informacion relacionada."
Acad_Teo_IED_L4_la justicia según Aristóteles,Example of legal facts that support the effect?,Según Aristóteles la justica es una virtud política y social. Dá click aqui para más informacion relacionada.
Acad_Teo_IED_L4_la organización administrativa,What is the legal duty?,"La organización administrativa implica los niveles municipales, estatales y federativos. Dá click aqui para más informacion relacionada."
Acad_Teo_IED_L4_las funciones del Estado de derecho,What are the elements of validity of the legal act by the form?,Ejercer a favor de los derechos de la persona son las funciones del Estado de derecho. Dá click aqui para más informacion relacionada.
Acad_Teo_IED_L4_los poderes del Estado para ordenar políticamente,When is a legal act non-existent?,"Los poderes del Estado son Ejecutivo, Legislativo y Judicial. Dá click aqui para más informacion relacionada."
Acad_Teo_IED_L4_se refieren los derechos humanos,What are acts of proof?,Los derechos humanos se refieren a la afirmación de la dignidad humana. Dá click aqui para más informacion relacionada.
Acad_Teo_IED_L5_característica de los elementos esenciales del acto jurídico,What are legal assumptions?,Las características de los elementos esenciales del acto jurídico son los que de manera indispensable requieren para existir. Dá click aqui para más informacion relacionada.
Acad_Teo_IED_L5_causas de nulidad de un acto jurídico,Why does the nullity operate?,La incapacidad y vicios de consentimiento son causas de nulidad de un acto jurídico. Dá click aqui para más informacion relacionada.
Acad_Teo_IED_L5_clasifican los hechos jurídicos,What are called essential requirements of validity?,Los hechos jurídicos se clasifican como los que fundamentan el efecto y los que no. Dá click aqui para más informacion relacionada.
Acad_Teo_IED_L5_Con cuales hechos surge la relación jurídica,What is a legal act?,Con hechos simples y hechos jurídicos surge la relación jurídica. Dá click aqui para más informacion relacionada.
Acad_Teo_IED_L5_Ejemplo de hechos jurídicos,Example of a legal act,Otorgamiento de un contrato es un ejemplo de hechos jurídicos que fundamentan el efecto. Dá click aqui para más informacion relacionada.
Acad_Teo_IED_L5_el deber jurídico,What is a legal fact?,The legal duty is to abide by the regulatory norms. Click here for more related information.
Acad_Teo_IED_L5_elementos de validez del acto jurídico por la forma,What constitutional article indicates the right to meet to discuss political matters?,"Los elementos de validez del acto jurídico por la forma deben ser solemnes, formales o consensuales. Dá click aqui para más informacion relacionada."
Acad_Teo_IED_L5_inexistente un acto jurídico,What articles endorse the right of petition process?,Un acto jurídico es inexistente a falta de un requisito esencial. Dá click aqui para más informacion relacionada.
Acad_Teo_IED_L5_los actos de prueba,What are attributes of moral persons?,Un acto de prueba corresponde a una clasificación de un acto jurídico. Dá click aqui para más informacion relacionada.
Acad_Teo_IED_L5_los supuestos jurídicos,"What is a right that the International Covenant on Economic, Social and Cultural Rights protects?",Un hecho es un supuesto jurídico. Dá click aqui para más informacion relacionada.
Acad_Teo_IED_L5_Por qué opera la nulidad,What is a moral person?,Por declarar el acto inexistente opera la nulidad. Dá click aqui para más informacion relacionada.
Acad_Teo_IED_L5_requisitos esenciales de la validez,When does the person become extinct?,Se denominan requisitos esenciales de la validez al consentimiento y al objeto materia del contrato. Dá click aqui para más informacion relacionada.
Acad_Teo_IED_L5_un acto jurídico,How is the right to action demanded?,Un acto jurídico es un acto humano que produce un efecto jurídico. Dá click aqui para más informacion relacionada.
Acad_Teo_IED_L5_un ejemplo de un acto jurídico,What is the right to liberty?,Un ejemplo de un acto jurídico es indemnizar por un daño causado. Dá click aqui para más informacion relacionada.
Acad_Teo_IED_L5_un hecho jurídico,How is legal capacity classified?,Un hecho jurídico es aquel que genera un efecto ante un derecho objetivo. Dá click aqui para más informacion relacionada.
Acad_Teo_IED_L6_artículo constitucional indica el derecho a reunirse para tratar asuntos políticos,Why was human rights legislation developed?,El artículo 33 constitucional indica el derecho a reunirse para tratar asuntos políticos. Dá click aqui para más informacion relacionada.
Acad_Teo_IED_L6_artículos avalan el proceso del derecho de petición,What is understood by natural person?,Los artículos 14 y 17 constitucionales avalan el proceso del derecho de petición. Dá click aqui para más informacion relacionada.
Acad_Teo_IED_L6_atributos de las personas morales,What is considered the creation of the person?,Patrimonio y capacidad son atributos de las personas morales. Dá click aqui para más informacion relacionada.
Acad_Teo_IED_L6_Cuál es un derecho que protege el Pacto Internacional de Derechos Económicos,How are the penalties for violation of the law enforced?,"Equal pay for the same work is a right protected by the International Covenant on Economic, Social and Cultural Rights. Click here for more related information."
Acad_Teo_IED_L6_Cuál es una persona moral,What is a right to action?,Legal persons are ideal entities with rights and obligations. Click here for more related information.
Acad_Teo_IED_L6_Cuándo se extingue la persona,What is a political right of every citizen?,Con la muerte se extingue la persona. Dá click aqui para más informacion relacionada.
Acad_Teo_IED_L6_demanda el derecho a la acción,"What does it mean in terms of analyzing the scope, content and purpose of legal norms?",El derecho a la acción se demanda en materia civil. Dá click aqui para más informacion relacionada.
Acad_Teo_IED_L6_derecho a la libertad,What revokes the subjective rights acquired by  amparos ?,El derecho a la libertad es la facultad de obrar por voluntad. Dá click aqui para más informacion relacionada.
Acad_Teo_IED_L6_la capacidad jurídica,What is the purpose of translating legal norms that promote compliance?,La capacidad jurídica se clasifica de goce y ejercicio. Dá click aqui para más informacion relacionada.
Acad_Teo_IED_L6_la legislación de los derechos humanos,What is the foundation of positive law?,La legislación de los derechos humanos se elaboro por una comisión. Dá click aqui para más informacion relacionada.
Acad_Teo_IED_L6_persona física,What institution is dedicated to the interpretation of the law?,Se comprende por persona física al individuo. Dá click aqui para más informacion relacionada.
Acad_Teo_IED_L6_Qué se considera la creación de la persona,What does  Karl Larenz  call the conflict rules?,Nacer con vida se considera la creación de la persona. Dá click aqui para más informacion relacionada.
Acad_Teo_IED_L6_sanciones por violación a la ley,What is the characteristic of institutional resignation?,Por medio del Comité de Derechos Humanos se ejecutan las sanciones por violación a la ley. Dá click aqui para más informacion relacionada.
Acad_Teo_IED_L6_un derecho a la acción,What does the law of non-retroactivity imply?,Jurisdictional guardianship status is a right to action. Click here for more related information.
Acad_Teo_IED_L6_un derecho político de todo ciudadano,What does the organization and practical application of legal means allow?,El derecho a votar es un derecho político de todo ciudadano. Dá click aqui para más informacion relacionada.
"Acad_Teo_IED_L7_analizar alcance, contenido y finalidad de las normas jurídicas",What does the reflection of the general theory of law entail?,"La operación interpretativa implica en propios términos analizar alcance, contenido y finalidad de las normas jurídicas. Dá click aqui para más informacion relacionada."
Acad_Teo_IED_L7_derechos subjetivos adquiridos por amparos,"What state is not interested in having its decisions known, justified or discussed?",La Retroactividad de la ley revoca los derechos subjetivos adquiridos por amparos. Dá click aqui para más informacion relacionada.
Acad_Teo_IED_L7_finalidad de traducir normas jurídicas,What is the relationship between laws and judicial resolution?,La integración es la finalidad de traducir normas jurídicas que propicien su cumplimento. Dá click aqui para más informacion relacionada.
Acad_Teo_IED_L7_fundamento de la ley positiva,What is a legal syllogism?,Los derechos adquiridos son el fundamento de la ley positiva. Dá click aqui para más informacion relacionada.
Acad_Teo_IED_L7_institución se dedica a la interpretación de la ley,What does Goldschmidt's private international law system and philosophy imply?,El Tribunal de la Corte de Casación se dedica a la interpretación de la ley. Dá click aqui para más informacion relacionada.
Acad_Teo_IED_L7_Karl Larenz a las normas de conflicto,What is the central topic in the general theory of law?,Karl Larenz denomina a las normas de conflicto como normas de remisión. Dá click aqui para más informacion relacionada.
Acad_Teo_IED_L7_la característica de la dimisión institucional,What are examples of other features of the modern state?,La resolución judicial es la característica de la dimisión institucional. Dá click aqui para más informacion relacionada.
Acad_Teo_IED_L7_la ley de la irretroactividad,What is the best method that can be applied to generate political science?,Pugnar por conservar los derechos adquiridos implica la ley de la irretroactividad. Dá click aqui para más informacion relacionada.
"Acad_Teo_IED_L7_la organización y aplicación práctica, de los medios jurídicos",What is Absolutism?,La técnica jurídica permite la organización y aplicación práctica de los medios jurídicos. Dá click aqui para más informacion relacionada.
Acad_Teo_IED_L7_la reflexión de la teoría general del derecho,What is anarchism?,El conflicto de leyes en el espacio conlleva la reflexión de la teoría general del derecho. Dá click aqui para más informacion relacionada.
Acad_Teo_IED_L7_qué Estado no le interesa que sus decisiones se conozcan,What does institutional analysis study?,"Al Estado Autoritario no le interesa que sus decisiones se conozcan, justifiquen ni discutan. Dá click aqui para más informacion relacionada."
