Intents,Query,Response
Acad_Teo_PIN_Una característica de un líder que consiste en infundir vigor,¿Una característica de un líder que consiste en infundir vigor en las personas con el fin de vencer los obstáculos?,"Una característica de un líder que consiste en infundir vigor en las personas con el fin de vencer los obstáculos: Motivar e inspirar. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""http://scielo.sld.cu/pdf/rus/v9n1/rus27117.pdf""> (PDF)</a><br />
<a href=""https://isfdnsfatima.files.wordpress.com/2012/09/chris-lowney-liderazgo-al-estilo-de-los-jesuitas.pdf""> (PDF)</a><br />
<a href=""https://www.youtube.com/watch?v=0OAMcLJjn9o""> (Video)</a><br />
<a href=""https://www.youtube.com/watch?v=pvmbqVt4t1E""> (Video)</a>"
Acad_Teo_PIN_Una empresa que desarrolla una comunicación asertiva obtiene como beneficio,¿Una empresa que desarrolla una comunicación asertiva obtiene como beneficio?,"Desarrolla una comunicación asertiva obtiene como beneficio: Democracia, prosperidad y sosiego. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""https://www.google.com.mx/url?sa=t&rct=j&q=&esrc=s&source=web&cd=9&cad=rja&uact=8&ved=0ahUKEwiIjMXPqd7SAhWiilQKHR0mADoQFghcMAg&url=https%3A%2F%2Fdialnet.unirioja.es%2Fdescarga%2Farticulo%2F3990506.pdf&usg=AFQjCNGSEx_lWh9mgl0PFV5zabpXoSKPlA&bvm=bv.149760088,d.amc""> (PDF)</a><br />
<a href=""http://www.redalyc.org/pdf/1471/147125259003.pdf""> (PDF)</a><br />
<a href=""http://www.revistanegotium.org.ve/pdf/2/2art2.pdf ""> (PDF)</a><br />
<a href=""https://www.youtube.com/watch?v=M-j1oOBCBYs""> (Video)</a><br />
<a href=""https://www.youtube.com/watch?v=jxegQ6fjvx8""> (Video)</a>"
Acad_Teo_PIN_Una Organización es,¿Una Organización es?,"Una Organización es: un proceso estructurado en el cual interactúan las personas para alcanzar sus objetivos. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""http://www.redalyc.org/pdf/805/80530309.pdf""> (PDF)</a><br />
<a href=""http://www.redalyc.org/pdf/215/21512808.pdf"" target=""_blank""> (PDF)</a><br />
<a href=""https://www.youtube.com/watch?v=L3BNt6HpfUU&t=29s""> (Video)</a>
<a href=""https://prezi.com/aq6gay6t17a4/teoria-de-david-mcclelland/""> (Video)</a>"
Acad_Teo_PIN_Una visión del liderazgo integral es,¿Una visión del liderazgo integral es?,"Una visión del liderazgo integral es: Todo el mundo tiene potencial de liderazgo. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""http://integralleadershipreview.com/5000-feature-article-theoretical-foundations-of-integrative-leadership/""> (PDF)</a><br />
<a href=""http://humanidadesmedicas.sld.cu/index.php/hm/article/view/252/167""> (PDF)</a><br />
<a href=""https://www.youtube.com/watch?v=q3e-GdMKR_0""> (Video)</a><br />
<a href=""https://www.youtube.com/watch?v=iP1toJIWn4s""> (Video)</a>"
Acad_Teo_QGI_adherente,¿Qué es adherente?,"Adherente: Lubricante resistente al agua y de gran fuerza adhesiva ya que forma una película lubricante duradera. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=”http://cybertesis.uach.cl/tesis/uach/2006/bmfcid542d/doc/bmfcid542d.pdf"" target=""_ blank”> Documento de apoyo a la gestión de mantenimiento, para la selección y aplicación de lubricantes. (PDF)</a><br />
<a href=""http://cybertesis.uach.cl/tesis/uach/2006/bmfcid352s/doc/bmfcid352s.pdf” target=""_blank”> Sistemas de lubricación a bordo. (PDF)</a><br />
<a href=""http://www.nebrija.es/~alopezro/Lubricacion.pdf” target=""_ blank”> Lubricación. (PDF)</a><br />
<a href=”https://www.youtube.com/watch?v=q3LrATASdsA"" target=""_blank""> Sistema de Lubricación. (Video)</a><br />
<a href=”https://www.youtube.com/watch?v=VLN6ZWZ_Bl0&t=60s"" target=""_blank""> Que es aceite lubricante viscosidad y SAE. (Video)</a><br />"
Acad_Teo_QGI_alcanos arden en el aire con llama no muy luminosa y produciendo,Los alcanos arden en el aire con llama no muy luminosa y produciendo:,"Dióxido de carbono y agua. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=”http://www7.uc.cl/sw_educ/educacion/grecia/plano/html/pdfs/cra/quimica/NM2/RQ2O102.pdf"" target=""_ blank”> La química del carbono. (PDF)</a><br />
<a href=""http://www.uv.es/maengu/docs/QUIMICA_DEL_CARBONO.pdf” target=""_blank”> Introducción a la química del carbono. (PDF)</a><br />
<a href=”https://www.youtube.com/watch?v=CV7CvUL276U&t=10s"" target=""_blank""> Tipos de Átomos de Carbono, primarios, secundarios, terciarios, cuaternarios. (Video)</a><br />
<a href=""https://www.youtube.com/watch?v=i2UQDbGdXOs"" target=""_blank""> Nomenclatura Orgánica: Alcanos. (Video)</a><br />"
Acad_Teo_QGI_Alcanos,¿Qué son los alcanos?,"Alcanos: Son hidrocarburos saturados, están formados exclusivamente por carbono e hidrógeno y únicamente hay enlaces sencillos en su estructura. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=”http://genesis.uag.mx/edmedia/material/quimicaII/pdf2/III.%20Qu%EDmica%20Org%E1nica.pdf"" target=""_ blank”> Química orgánica. Química general y orgánica. (PDF)</a><br />
<a href=""https://chem.ucr.edu/documents/curricularmaterials/neumantextbook/Chapter1.pdf” target=""_blank”> Organic Molecules and Chemical Bonding. Organic Chemistry. (PDF)</a><br />
<a href=""https://www.youtube.com/watch?v=bA7fKoKYtxk"" target=""_blank""> Hidruros. (Video)</a><br />
<a href=""https://www.youtube.com/watch?v=kT5C6bSJIeg"" target=""_blank""> Hidruros. Lección teórica. (Video)</a><br />"
Acad_Teo_QGI_Algunos aditivos utilizados para las máquinas de combustión interna,Algunos aditivos utilizados para las máquinas de combustión interna son:,Antioxidantes.
Acad_Teo_QGI_Algunos motores tienen señalado la potencia en la bomba de inyección,"Algunos motores tienen señalado la potencia en la bomba de inyección, esto se debe a lo que se produce como:","Viscoso. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=”http://sisbib.unmsm.edu.pe/bibvirtualdata/Tesis/Ingenie/matos_sp/T_completo%20.pdf"" target=""_ blank”> Detección de adulteraciones de combustibles de uso en el Parque Automotor Peruano. (PDF)</a><br />
<a href=""http://cybertesis.uach.cl/tesis/uach/2005/bmfcig643o/doc/bmfcig643o.pdf” target=""_blank”> Obtención, recepción, manejo y consumo de combustibles a bordo. (PDF)</a><br />
<a href=”https://www.youtube.com/watch?v=fx_TgBdnPcY"" target=""_blank""> Calidad de los combustibles. (Video)</a><br />
<a href=""https://www.youtube.com/watch?v=un-QT_-D1bg"" target=""_blank""> Diferencia entre densidad y viscosidad. (Video)</a><br />"
Acad_Teo_QGI_Anhídrido,¿Qué es anhídrido?,"Anhídrido: Estos óxidos producen ácidos al combinarse con el agua; entonces también es posible nombrarlos anteponiendo la palabra anhídrido. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=”http://web.uaemex.mx/PIgnacioRamirez/Documentos/MaterialDidactico/2a.%20GUIA%20Q.Y%20E.%202009.pdf"" target=""_ blank""> Química. (PDF)</a><br />
<a href=""http://www.fbioyf.unr.edu.ar/textos/ingreso2007/unidad2.pdf” target=""_blank”> Compuestos químicos, nomenclatura, y reacciones de obtención.  (PDF)</a><br />
<a href=""https://www.youtube.com/watch?v=uIVuAVsK50w"" target=""_blank""> Formulación de Anhídridos - Lección Teórica (Video)</a><br />
<a href=""https://www.youtube.com/watch?v=77g2lAWD50Q"" target=""_blank""> Clases de sales: Sales neutras, sales ácidas, sales básicas y sales dobles (Video)</a><br />"
Acad_Teo_QGI_anticorrosivo,¿Qué es anticorrosivo?,"Anticorrosivo: Estos aditivos previenen la degradación por ácidos orgánicos. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=”http://cybertesis.uach.cl/tesis/uach/2006/bmfcid542d/doc/bmfcid542d.pdf"" target=""_ blank”> Documento de apoyo a la gestión de mantenimiento, para la selección y aplicación de lubricantes. (PDF)</a><br />
<a href=""https://uta-ir.tdl.org/uta-ir/bitstream/handle/10106/25525/Bagi_uta_2502M_11920.pdf?sequence=1” target=""_blank”> Effect Of Additive Morphology & Chemistry On Wear & Friction Of Greases Under Spectrum Loading. (PDF)</a><br />
<a href=""http://200.35.84.131/portal/bases/marc/texto/2101-09-02934.pdf” target=""_ blank”> Evaluación de tecnologías aplicadas a la recuperación de aceites gastados para el rendimiento de los motores a gasolina. (PDF)</a><br />
<a href=”https://www.youtube.com/watch?v=xQz48stPnFE&t=204s"" target=""_blank""> Análisis de viscosidad. (Video)</a><br />
<a href=”https://www.youtube.com/watch?v=gOTNVdhEu6w"" target=""_blank""> Las funciones de los aditivos anti herrumbre y anti corrosión en el lubricante. (Video)</a><br />"
Acad_Teo_QGI_antiespuma,¿Qué es antiespuma?,"Antiespuma: Promueven el más rápido rompimiento de las burbujas de espuma por debilitamiento de las películas de aceite entre estas mismas burbujas. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=”http://cybertesis.uach.cl/tesis/uach/2006/bmfcid542d/doc/bmfcid542d.pdf"" target=""_ blank”> Documento de apoyo a la gestión de mantenimiento, para la selección y aplicación de lubricantes. (PDF)</a><br />
<a href=""https://uta-ir.tdl.org/uta-ir/bitstream/handle/10106/25525/Bagi_uta_2502M_11920.pdf?sequence=1” target=""_blank”> Effect Of Additive Morphology & Chemistry On Wear & Friction Of Greases Under Spectrum Loading. (PDF)</a><br />
<a href=""http://200.35.84.131/portal/bases/marc/texto/2101-09-02934.pdf” target=""_ blank”> Evaluación de tecnologías aplicadas a la recuperación de aceites gastados para el rendimiento de los motores a gasolina. (PDF)</a><br />
<a href=”https://www.youtube.com/watch?v=xQz48stPnFE&t=204s"" target=""_blank""> Análisis de viscosidad. (Video)</a><br />
<a href=”https://www.youtube.com/watch?v=gOTNVdhEu6w"" target=""_blank""> Las funciones de los aditivos anti herrumbre y anti corrosión en el lubricante. (Video)</a><br />"
Acad_Teo_QGI_Bohr,¿Qué dice la teoría cuántica de Bohr?,"Está basado en los siguientes postulados, que son válidos para átomos con un solo electrón como el hidrógeno y permitió explicar sus espectros de emisión y absorción. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=”http://www.editorial.unca.edu.ar/Publicacione%20on%20line/CUADERNOS%20DE%20CATEDRA/Susana%20Fiad/LIBROVERSION%20EDITORIAL%202.pdf"" target=""_blank” > Introducción a la química general. Una guía didáctica. (PDF)</a><br />
<a href=""http://dcb.fi-c.unam.mx/CoordinacionesAcademicas/FisicaQuimica/Quimica/articulos/0a_bohr.pdf” target=""_blank""> Teoría atómica de Bohr. (PDF)</a><br />
<a href=""http://www3.uah.es/edejesus/resumenes/EQEM/tema_193.pdf“ target=""_blank""> La estructura electrónica de los átomos.  (PDF)</a><br />
<a href=""https://www.youtube.com/watch?v=OaYNfat2zbc"" target=""_blank""> La medición en la química. (Video)</a><br />
<a href=""https://www.youtube.com/watch?v=FVQ-KGF3zss"" target=""_blank""> Apuntes de Química #1 | Introducción a la Química y mediciones. (Video)</a><br />"
"Acad_Teo_QGI_calentar la solución, aumenta la concentración de soluto","Al calentar la solución, aumenta la concentración de soluto y puede llegarse a exceder el límite de:","Solubilidad. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=”http://www.frenteestudiantil.com/upload/material_digital/libros_varios/procesos/Operaciones%20Unitarias%20En%20Ingenier%EDa%20Qu%EDmica%20-%20McCabe%20-%207ma.pdf"" target=""_ blank”> Operaciones básicas de preparación de reactivos y separación de productos. (PDF)</a><br />
<a href=""http://ocw.unican.es/ensenanzas-tecnicas/operaciones-y-procesos/materiales/BLOQUE2-OyP.pdf” target=""_blank”> Operaciones y procesos (PDF)</a><br />
<a href=""http://bibing.us.es/proyectos/abreproy/20374/fichero/Proyecto+completo.pdf” target=""_ blank""> Control de Columnas de Destilación. (PDF)</a><br />
<a href=""https://www.youtube.com/watch?v=ExEp_2ij9Kc"" target=""_blank""> Solubilidad (Video)</a><br />
<a href=""https://www.youtube.com/watch?v=aNB5x4Z_H5Y"" target=""_blank""> Destilación y Evaporación - Lección Teórica I (Video)</a><br />"
Acad_Teo_QGI_calor específico,¿Qué es el calor específico?,"Es la cantidad de calor que se requiere aplicar a la unidad de peso para aumentar su temperatura en un grado. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=”http://www.iae.org.ar/archivos/educ9.pdf"" target=""_ blank”> Tipos de hidrocarburos. (PDF)</a><br />
<a href=""http://ocw.unican.es/ensenanzas-tecnicas/operaciones-y-procesos/materiales/BLOQUE2-OyP.pdf” target=""_blank”> Operaciones y procesos. (PDF)</a><br />
<a href=""http://www.insht.es/InshtWeb/Contenidos/Documentacion/FichasTecnicas/NTP/Ficheros/301a400/ntp_379.pdf” target=""_ blank""> Productos inflamables: variación de los parámetros. (PDF)</a><br />
<a href=”https://www.youtube.com/watch?v=7XkGc9sCBTQ"" target=""_blank""> Termoquímica. Teoría 4 - Transferencia de calor. Capacidad calorífica específica y molar. (Video)</a><br />
<a href=""https://www.youtube.com/watch?v=2mynWKbrnrA"" target=""_blank""> Conductividad electrica (Video)</a><br />"
Acad_Teo_QGI_Carga cítrica,¿Qué es la carga cítrica?,"Carga cítrica: Es el último peso en la taza de rotación cuando se rompe la película de lubricante y causa una abrasión entre los elementos en rotación. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=”http://redi.uta.edu.ec/bitstream/123456789/6504/1/Tesis%20I.%20M.%20187%20-%20Montalvo%20Lima%20Diego%20Armando.pdf"" target=""_ blank”> Análisis de medios lubricantes de los rodamientos 6202 y NJ202E. TYP2 y su incidencia en la velocidad de desgaste. (PDF)</a><br />
<a href=""http://www.timken.com/pdf/7557_Lubricants%20Brochure.pdf” target=""_blank”> Chose Timken Lubricants for Optimal Performance. (PDF)</a><br />
<a href=""http://www.bdigital.unal.edu.co/6184/1/8230748._1998_1.pdf” target=""_ blank”> Criterios para la selección y aplicación de lubricantes. (PDF)</a><br />
<a href=”https://www.youtube.com/watch?v=tcnsDNDOChc"" target=""_blank""> Prueba Timken con grasas Marca Prolab. (Video)</a><br />
<a href=”https://www.youtube.com/watch?v=xAlEdG5gnvI"" target=""_blank""> Prueba de Lubricación Ok Timken. (Video)</a><br />"
Acad_Teo_QGI_carga,¿Qué es carga?,"Carga: Son los materiales que se adicionan a los polímeros se pueden clasificar en tres grandes grupos y en éste se emplea para grandes cantidades. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=”http://oa.upm.es/20858/1/INVE_MEM_2012_131825.pdf"" target=""_ blank”> Variación de la capacidad portante de suelos granulares contaminados con hidrocarburos. (PDF)</a><br />
<a href=""http://www6.uniovi.es/usr/fblanco/AP.T5.1-MPyC.Tema5.Adtivos.PropiedadesFisicasQuimicas.pdf” target=""_blank”> Aditivos, propiedades físicas y químicas. (PDF)</a><br />
<a href=""http://cybertesis.uach.cl/tesis/uach/2006/bmfcid542d/doc/bmfcid542d.pdf” target=""_ blank”> Documento de apoyo a la gestión de mantenimiento, para la selección y aplicación de lubricantes. (PDF)</a><br />
<a href=”https://www.youtube.com/watch?v=i7Px6vS9mN8&t=147s"" target=""_blank""> Análisis de viscosidad. (Video)</a><br />
<a href=”https://www.youtube.com/watch?v=un-QT_-D1bg&t=97s"" target=""_blank""> Diferencia entre densidad y viscosidad. (Video)</a><br />"
Acad_Teo_QGI_causan los compuestos del azufre,¿Qué causan los compuestos del azufre?,"Envenenamiento. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=”http://webdelprofesor.ula.ve/ingenieria/marquezronald/wp-content/uploads/PETROINCA_FINAL.pdf"" target=""_ blank”> Obtención de gasolina comercial, kerosene y gasóleo. (PDF)</a><br />
<a href=""http://www.dspace.uce.edu.ec/bitstream/25000/1988/1/T-UCE-0017-46.pdf” target=""_blank”> Caracterización y evaluación del crudo carga de la refinería estatal de Esmeraldas. (PDF)</a><br />
<a href=""http://www.siame.gov.co/siame/documentos/Guias_Ambientales/Gu%C3%ADas%20Resoluci%C3%B3n%201023%20del%2028%20de%20julio%20de%202005/HIDROCARBUROS/Guia%20de%20manejo%20ambiental%20para%20estaciones%20de%20servicio%20de%20Combustible.pdf” target=""_ blank""> Guía de manejo ambiental para estaciones de servicio de combustible. (PDF)</a><br />
<a href=”https://www.youtube.com/watch?v=Pp_mv1yaneU"" target=""_blank""> Reducción del contenido de azufre presente en el petróleo crudo. (Video)</a><br />
<a href=""https://www.youtube.com/watch?v=r78PtH9JWnc"" target=""_blank""> ¿Qué es el petróleo?. (Video)</a><br />"
Acad_Teo_QGI_cinemática,¿Qué es cinemática?,"Cinemática: Es la viscosidad que representa esta característica desechando las fuerzas que generan el movimiento. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=”http://cybertesis.uach.cl/tesis/uach/2005/bmfcig643o/doc/bmfcig643o.pdf"" target=""_ blank”> Obtención, recepción, manejo y consumo de combustibles a bordo. (PDF)</a><br />
<a href=""http://www.dspace.uce.edu.ec/bitstream/25000/1988/1/T-UCE-0017-46.pdf” target=""_blank”> Caracterización y evaluación del crudo. (PDF)</a><br />
<a href=""https://www.recope.go.cr/wp-content/uploads/2013/07/Manual_Productos.pdf” target=""_ blank”> Manual de productos 2011. (PDF)</a><br />
<a href=”https://www.youtube.com/watch?v=sSWgqg3CGCI"" target=""_blank""> ¿Qué es la viscosidad. (Video)</a><br />
<a href=""https://www.youtube.com/watch?v=9of_IO_JFPU"" target=""_blank""> . ¿Qué es el poder calorífico y la densidad energética? (Video)</a><br />"
Acad_Teo_QGI_clasificación SEA,¿En qué se basa la clasificación SEA?,"Se basa solamente en la viscosidad del aceite a una temperatura determinada sin que se tenga en cuenta ninguna otra consideración.  <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=”http://cybertesis.uach.cl/tesis/uach/2006/bmfcid542d/doc/bmfcid542d.pdf"" target=""_ blank”> Documento de apoyo a la gestión de mantenimiento, para la selección y aplicación de lubricantes. (PDF)</a><br />
<a href=""http://200.35.84.131/portal/bases/marc/texto/2101-09-02934.pdf” target=""_blank”> Chose Timken Lubricants for Optimal Performance. (PDF)</a><br />
<a href=”https://www.youtube.com/watch?v=Lww6rujn8g8"" target=""_blank""> Los inhibidores de la corrosión y oxidacion. (Video)</a><br />
<a href=”https://www.youtube.com/watch?v=xAlEdG5gnvI"" target=""_blank""> Prueba de Lubricación Ok Timken. (Video)</a><br />"
Acad_Teo_QGI_combinación de reactivos y productos en estado de equilibrio,¿Cómo se le conoce a una combinación de reactivos y productos en estado de equilibrio?,"Mezcla. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=”http://www.frenteestudiantil.com/upload/material_digital/Qu_mica%20General%20-%20McMurry%20-%205ta.pdf"" target=""_ blank”> Química general. (PDF)</a><br />
<a href=""http://institutomanhattanschool.com/biblioteca-virtual/Quimica%20I/Principios%20de%20Quimica%20-%20Zumdahl.pdf” target=""_blank”> Principios de Química. (PDF)</a><br />
<a href=""https://www.youtube.com/watch?v=503kRoJRAxg"" target=""_blank""> Conceptos de equilibrio químico. (Video)</a><br />
<a href=""https://www.youtube.com/watch?v=BAAzOsAMcGY"" target=""_blank""> Cómo expresar y calcular la Constante de Equilibrio (Ke)(ejercicios). (Video)</a><br />"
Acad_Teo_QGI_combustible,¿Qué es combustible?,Sustancia química que de forma rápida puede reaccionar con el oxígeno.
"Acad_Teo_QGI_comparativo de desgaste, carga crítica y rompimiento de película se efectuó","El estudio comparativo de desgaste, carga crítica y rompimiento de película se efectuó en:","Aceites. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=”http://redi.uta.edu.ec/bitstream/123456789/6504/1/Tesis%20I.%20M.%20187%20-%20Montalvo%20Lima%20Diego%20Armando.pdf"" target=""_ blank”> Análisis de medios lubricantes de los rodamientos 6202 y NJ202E. TYP2 y su incidencia en la velocidad de desgaste. (PDF)</a><br />
<a href=""http://www.timken.com/pdf/7557_Lubricants%20Brochure.pdf” target=""_blank”> Chose Timken Lubricants for Optimal Performance. (PDF)</a><br />
<a href=""http://www.bdigital.unal.edu.co/6184/1/8230748._1998_1.pdf” target=""_ blank”> Criterios para la selección y aplicación de lubricantes. (PDF)</a><br />
<a href=”https://www.youtube.com/watch?v=tcnsDNDOChc"" target=""_blank""> Prueba Timken con grasas Marca Prolab. (Video)</a><br />
<a href=”https://www.youtube.com/watch?v=xAlEdG5gnvI"" target=""_blank""> Prueba de Lubricación Ok Timken. (Video)</a><br />"
Acad_Teo_QGI_Composición,¿Qué es la composición?,"Composición: Es una característica de esta clasificación, principalmente formados por carbono, hidrógeno, oxígeno y nitrógeno. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=”https://www.angelo.edu/faculty/kboudrea/index_2353/Chapter_05_2SPP.pdf"" target=""_ blank""> Chapter 5. Carboxylic Acids and Esters. (PDF)</a><br />
<a href=""http://www.bbc.co.uk/education/guides/z33j6sg/revision” target=""_blank”> Carboxylic acids and esters. (Página Web)</a><br />
<a href=""https://www.youtube.com/watch?v=97sxdaXiIco"" target=""_blank""> Origen y características de la química orgánica (Video)</a><br />
<a href=""https://www.youtube.com/watch?v=-xQgNXg4S5Y"" target=""_blank""> Clasificación de las Cadenas Carbonadas (Video)</a><br />"
Acad_Teo_QGI_compuestos orgánicos del carbono que presentan únicamente,"Son compuestos orgánicos del carbono que presentan únicamente enlaces simples y reciben el nombre de ""alcano"":","Hidrocarburos. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=”http://www7.uc.cl/sw_educ/educacion/grecia/plano/html/pdfs/cra/quimica/NM2/RQ2O102.pdf"" target=""_ blank”> La química del carbono. (PDF)</a><br />
<a href=""http://www.uv.es/maengu/docs/QUIMICA_DEL_CARBONO.pdf” target=""_blank”> Introducción a la química del carbono. (PDF)</a><br />
<a href=”https://www.youtube.com/watch?v=CV7CvUL276U&t=10s"" target=""_blank""> Tipos de Átomos de Carbono, primarios, secundarios, terciarios, cuaternarios. (Video)</a><br />
<a href=""https://www.youtube.com/watch?v=i2UQDbGdXOs"" target=""_blank""> Nomenclatura Orgánica: Alcanos. (Video)</a><br />"
Acad_Teo_QGI_concentración de reactivos y productos en el equilibrio químico,La concentración de reactivos y productos en el equilibrio químico es:,Constante.
Acad_Teo_QGI_Conductividad,¿Qué es la conductividad?,"Representa el flujo de calor referido a la unidad de tiempo en un medio homogéneo. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=”http://www.iae.org.ar/archivos/educ9.pdf"" target=""_ blank”> Tipos de hidrocarburos. (PDF)</a><br />
<a href=""http://ocw.unican.es/ensenanzas-tecnicas/operaciones-y-procesos/materiales/BLOQUE2-OyP.pdf” target=""_blank”> Operaciones y procesos. (PDF)</a><br />
<a href=""http://www.insht.es/InshtWeb/Contenidos/Documentacion/FichasTecnicas/NTP/Ficheros/301a400/ntp_379.pdf” target=""_ blank""> Productos inflamables: variación de los parámetros. (PDF)</a><br />
<a href=”https://www.youtube.com/watch?v=7XkGc9sCBTQ"" target=""_blank""> Termoquímica. Teoría 4 - Transferencia de calor. Capacidad calorífica específica y molar. (Video)</a><br />
<a href=""https://www.youtube.com/watch?v=2mynWKbrnrA"" target=""_blank""> Conductividad electrica (Video)</a><br />"
Acad_Teo_QGI_configuración electrónica,¿Que es la configuración electrónica?,Configuración electrónica: Es una descripción de cómo se distribuyen los electrones de un átomo.
Acad_Teo_QGI_conoce la composición porcentual de un compuesto es posible calcular,¿Cuándo se conoce la composición porcentual de un compuesto es posible calcular?,"Fórmula.  <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=”http://www.frenteestudiantil.com/upload/material_digital/Qu_mica%20General%20-%20McMurry%20-%205ta.pdf"" target=""_ blank”> Química general. (PDF)</a><br />
<a href=""http://www4.ujaen.es/~mjayora/docencia_archivos/bases%20quimicas/TEMA%2011.pdf” target=""_blank”> Equilibrios Ácido Base. (PDF)</a><br />
<a href=""https://www.youtube.com/watch?v=2x0FyLUOTCI"" target=""_blank""> Reacción de Precipitación. Formación de Carbonato de Calcio. (Video)</a><br />
<a href=""https://www.youtube.com/watch?v=0wdDvNoxfb4"" target=""_blank""> Qué es un ácido  y una base. (Video)</a><br />"
Acad_Teo_QGI_constante de equilibrio químico se denota,La constante de equilibrio químico se denota por:,kc.
"Acad_Teo_QGI_constante de equilibrio, se expresa como la relación","La constante de equilibrio, se expresa como la relación entre las concentraciones molares y se representa con:","K. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=”http://www.hiru.eus/quimica/la-constante-de-equilibrio"" target=""_ blank”> La constante del equilibrio. (PDF)</a><br />
<a href=""http://www.qfa.uam.es/labqui/presentaciones/Tema6.pdf” target=""_blank”> Experimentación básica en Química (grado de Química). (PDF)</a><br />
<a href=""http://ocw.uniovi.es/pluginfile.php/1684/mod_resource/content/1/acido-base.pdf” target=""_ blank""> Regulación del equilibrio ácido base. (PDF)</a><br />
<a href=""https://www.youtube.com/watch?v=3nn_98kgKH8"""" target=""_blank""> Principio de Chatelier. (Video)</a><br />
<a href=""https://www.youtube.com/watch?v=GyzfKnjuGjU"" target=""_blank""> Equilibrio químico I (Video)</a><br />"
Acad_Teo_QGI_contenido de azufre y la densidad API son las propiedades,El contenido de azufre y la densidad API son las propiedades que tienen mayor influencia en el valor de:,"Petróleo. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=”http://webdelprofesor.ula.ve/ingenieria/marquezronald/wp-content/uploads/PETROINCA_FINAL.pdf"" target=""_ blank”> Obtención de gasolina comercial, kerosene y gasóleo. (PDF)</a><br />
<a href=""http://www.dspace.uce.edu.ec/bitstream/25000/1988/1/T-UCE-0017-46.pdf” target=""_blank”> Caracterización y evaluación del crudo carga de la refinería estatal de Esmeraldas. (PDF)</a><br />
<a href=""http://www.siame.gov.co/siame/documentos/Guias_Ambientales/Gu%C3%ADas%20Resoluci%C3%B3n%201023%20del%2028%20de%20julio%20de%202005/HIDROCARBUROS/Guia%20de%20manejo%20ambiental%20para%20estaciones%20de%20servicio%20de%20Combustible.pdf” target=""_ blank""> Guía de manejo ambiental para estaciones de servicio de combustible. (PDF)</a><br />
<a href=”https://www.youtube.com/watch?v=Pp_mv1yaneU"" target=""_blank""> Reducción del contenido de azufre presente en el petróleo crudo. (Video)</a><br />
<a href=""https://www.youtube.com/watch?v=r78PtH9JWnc"" target=""_blank""> ¿Qué es el petróleo?. (Video)</a><br />"
